VCE_ID,Month,Stage,D1,D2,D3,MuseumSpecimenKey,Species,Lat_Final,Long_Final,Country,State,County,Town,Locality,Collection,Sex,Comments
151,12,adult,-82.79,NA,NA,AMNH0042,Anax junius,17.9893,-76.7811,Jamaica,,,,St. Johns,American Museum of Natural History,M,St Johns is a medical facility in Kingston - mm
149,1,adult,-83.75,NA,NA,AMNH0019,Anax junius,18.0333,-77.5,Jamaica,,,,", Mandeville,  Manchester",American Museum of Natural History,F,between 13-15 January
987,1,adult,-62.1,NA,NA,386,Anax junius,18.0523,-76.2815,Jamaica,,Portland,,stream at coast ca 1 mi N Manchioneal,Paulson Collection,M,mature at water
988,1,adult,NA,NA,NA,387,Anax junius,18.0523,-76.2815,Jamaica,,Portland,,stream at coast ca 1 mi N Manchioneal,Paulson Collection,M,mature at water
153,7,adult,-80.64,NA,NA,AMNH0044,Anax junius,18.1392,-66.265,Puerto Rico,,,,", Aibonito",American Museum of Natural History,F, between 14-17 July
442,12,adult,-77.57,NA,NA,FSCA0300,Anax junius,18.1455,-77.3472,Jamaica,,,,,Florida State Collection of Arthropods,,December 19. No year.
150,11,adult,-80.01,NA,NA,AMNH0041,Anax junius,18.35,-64.92,Virgin Islands,,,,", St. Thomas,  Virgin Islands",American Museum of Natural History,F,
463,12,adult,-56.09,NA,NA,FSCA0381,Anax junius,18.4399,-65.9906,Puerto Rico,,,San Juan,"San Juan, airport area",Florida State Collection of Arthropods,F,
464,1,adult,-80.89,NA,NA,FSCA0382,Anax junius,18.4667,-69.9,Dominican Republic,,,Santo Domingo,"Santo Domingo, ",Florida State Collection of Arthropods,M,
1034,3,adult,-75.02,NA,NA,Hemeon-001,Anax junius,18.678,-68.417,Dominican Republic,,,Bavaro,"La Atagracia, Now Larimar",Vermont Center for Ecostudies,M,
977,9,adult,-138.11,NA,NA,376,Anax junius,18.7743,-95.7584,Mexico,,Veracruz,,rain ponds W of Alvarado,Paulson Collection,F,
441,5,adult,-66.3,NA,NA,FSCA0299,Anax junius,19,-70.4167,Dominican Republic,La Vega,,,", Jayaco ponds near Autopista Duarte,  north of Banao",Florida State Collection of Arthropods,M,
979,9,adult,-112.14,NA,NA,378,Anax junius,19.2082,-96.7917,Mexico,,Veracruz,,pond and stream 18 km E Totutla on Mex. 125,Paulson Collection,F,mated with 377
978,9,adult,-115.7,NA,NA,377,Anax junius,19.2082,-96.7917,Mexico,,Veracruz,,pond and stream 18 km E Totutla on Mex. 125,Paulson Collection,M,mated with 378
465,6,adult,-93.93,-85.72,NA,FSCA0383,Anax junius,19.2167,-70.5167,Dominican Republic,La Vega,,,", shrimp ponds at junction autopista Duarte and road to Jayaco,  2km north of Banao",Florida State Collection of Arthropods,M,
990,10,adult,NA,NA,NA,,Anax junius,19.5857,-96.3876,Mexico,,,,La Mancha Wetland,Smithsonian Conservation Biology Institute ,,
995,10,adult,NA,NA,NA,,Anax junius,19.5857,-96.3876,Mexico,,,,La Mancha Wetland,Smithsonian Conservation Biology Institute ,,
997,10,adult,NA,NA,NA,,Anax junius,19.5857,-96.3876,Mexico,,,,La Mancha Wetland,Smithsonian Conservation Biology Institute ,,
999,10,adult,NA,NA,NA,,Anax junius,19.5857,-96.3876,Mexico,,,,La Mancha Wetland,Smithsonian Conservation Biology Institute ,,
